corp_name,year,quarter,자산총계,부채총계,자본총계,매출액,영업이익,분기순이익,부채비율,자기자본비율,ROA,ROE,매출액성장률,영업이익성장률,순이익성장률
태영건설,2020,Q3,3756355446767.0,3130507700670.0,625847746097.0,162001808845.0,50710334577.0,518796662560.0,500.2027602069215,16.66103634137316,13.811170692233482,82.89502771167476,-79.78759990878841,-34.81358750251523,990.8383181069515
태영건설,2020,Q4,3798270930253.0,3151457432489.0,646813497764.0,549994146632.0,14616031058.0,-102129931129.0,487.22814897701136,17.029156414624595,-2.6888532441311974,-15.789703134219952,239.4987689046257,-71.17741150808894,-119.68592678006837
태영건설,2021,Q1,3721047780314.0,3056801754569.0,664246025745.0,512080290234.0,44090139398.0,26124999553.0,460.19119965988136,17.85104801016416,0.7020871833791784,3.9330306152300905,-6.8935018000051755,201.65603249636993,-125.580159767269
태영건설,2021,Q2,3878036110250.0,3194798409637.0,683237700613.0,598074987794.0,52009237035.0,11122111318.0,467.5969149200389,17.618136633827135,0.2867975181717172,1.627853865209905,16.79320590931237,17.961153548449026,-57.427324370144085
태영건설,2021,Q3,4091108586327.0,3390506037801.0,700602548526.0,518760911381.0,39045677593.0,19628539460.0,483.94143654405724,17.125004964852362,0.4797853453609384,2.8016654380285297,-13.261560511926774,-24.925494356466093,76.48213454070736
태영건설,2021,Q4,3734783195004.0,3025556021618.0,709227173386.0,1122794443885.0,39402258571.0,8551519891.0,426.59899890374453,18.989781638054104,0.22896964681749996,1.2057518679343942,116.43774988674353,0.9132405940470267,-56.43323382044443
태영건설,2022,Q1,3512818490415.0,2792661169192.0,720157321223.0,582932988365.0,28313112659.0,21844288251.0,387.78487517830007,20.500840655103747,0.6218450600451987,3.0332661499438975,-48.08194932386878,-28.143427088115182,155.44334258042133
태영건설,2022,Q2,3838013309846.0,3138344462476.0,699668847370.0,617114740767.0,-7435776597.0,-7994283612.0,448.54711972282166,18.229974491622443,-0.2082922326374311,-1.1425810427389873,5.863753310285702,-126.26266029650526,-136.59667699007787
태영건설,2022,Q3,3831110875897.0,3123172213622.0,707938662275.0,604505734148.0,2873312762.0,12021025182.0,441.1642392273808,18.478678514081018,0.3137738784233293,1.6980320220638567,-2.0432191594270677,-138.64173061841655,-250.37026161988507
태영건설,2022,Q4,4323308266498.0,3582445702772.0,740862563726.0,800543268909.0,67796906022.0,23199932429.0,483.55064463709743,17.13647322970377,0.5366245245285872,3.1314758721673304,32.4293920945677,2259.5379841214794,92.99462464931054
태영건설,2023,Q1,4485641697363.0,3684180229948.0,801461467415.0,724247173542.0,19344504161.0,36849694281.0,459.6827645165274,17.86726451838897,0.8215032935569294,4.5978123439737475,-9.530539863382803,-71.46698087561292,58.83535175704972
태영건설,2023,Q2,4736675322213.0,3893734985367.0,842940336846.0,918777194732.0,57741817666.0,36496634499.0,461.9229636033376,17.79603370518066,0.7705116356159404,4.329681817761641,26.859617585890238,198.49210496907915,-0.9581077642265234
태영건설,2023,Q3,4901407572648.0,4054461900119.0,846945672529.0,746058864226.0,20634237944.0,2971691793.0,478.71569943940796,17.279641816675838,0.06062935491395045,0.3508715953558695,-18.798717632121964,-64.26465466785952,-91.85762787776657
태영건설,2023,Q4,4640488559862.0,5080708761456.0,-440220201594.0,963838543330.0,-502252374966.0,-1533278640545.0,-1154.128943437667,-9.486505481377403,-33.04131926554296,348.2981096717343,29.19068314132771,-2534.072808160305,-51696.15287684715
태영건설,2024,Q1,5452661049014.0,6033365179682.0,-580704130668.0,721062226126.0,37595632499.0,-17788183648.0,-1038.9740422100413,-10.64992167031927,-0.32622940410382967,3.0632094225914597,-25.188483992891953,-107.48540661486072,-98.83985968514651
태영건설,2024,Q2,5470890328484.0,5045902497303.0,424987831181.0,715595554921.0,34446007304.0,33364209243.0,1187.305171369478,7.768165795031854,0.6098497180484574,7.850626958019974,-0.7581413929239389,-8.377635873219525,-287.5638901825217
태영건설,2024,Q3,4576480469795.0,4036612824667.0,539867645128.0,561684534655.0,-65256129382.0,83536309865.0,747.7041569531248,11.79656831687917,1.8253395904635414,15.473479586870583,-21.508101777265985,-289.44468311258305,150.377011055721
